fact,subspace,breakdown,measure,template,focus,,,,,,,,,,,,
*,*,breakdown,measure,Show me some information about <measure> of <breakdown>,*,,,,,,,,,,,,
association,subspace,breakdown,*,"In <subspace>, what is the connection between different <breakdown>",*,,,,,,,,,,,,
categorization,subspace,breakdown,*,"In <subspace>, find the categories of <breakdown>",*,,,,,,,,,,,,
distribution,subspace,breakdown,*,show distributions over <breakdown> in <subspace>,*,,,,,,,,,,,,
difference,subspace,breakdown,*,"In <subspace>, find the differences between each <breakdown>",*,,,,,,,,,,,,
extreme,subspace,breakdown,*,which <breakdown> 's value in < subspace> is extreme.,*,,,,,,,,,,,,
outlier,subspace,breakdown,*,"Within <subspace>, which <breakdown> 's value is an outlier.",*,,,,,,,,,,,,
proportion,subspace,breakdown,*,"In <subspace>, what is the proportion of every <breakdown>",*,,,,,,,,,,,,
rank,subspace,breakdown,*,what is the rank of <breakdown> in <subspace>,*,,,,,,,,,,,,
trend,subspace,breakdown,*,show the trends over <breakdown> in <subspace>,*,,,,,,,,,,,,
association,subspace,*,measure1,which relates to <measure_1> in <subspace>,*,,,,,,,,,,,,
association,subspace,*,measure,what is the correlation between <measure_1> and <measure_2> in <subspace>,*,,,,,,,,,,,,
distribution,subspace,*,measure,what is the distributions of <measure> in <subspace>,*,,,,,,,,,,,,
difference,subspace,*,measure,"In <subspace>, what are the differences based on <measure>",*,,,,,,,,,,,,
extreme,subspace,*,measure,find an extreme value of <measure> in <subspace>,*,,,,,,,,,,,,
outlier,subspace,*,measure,"In <subspace>, which <measure> is an outlier .",*,,,,,,,,,,,,
proportion,subspace,*,measure,"within <subspace>, how much of percentage out of  <measure>.",*,,,,,,,,,,,,
rank,subspace,*,measure,"based on <measure>, which are the top 3 ranked in <subspace>.",*,,,,,,,,,,,,
trend,subspace,*,measure,what is the trend of <measure> in <subspace>,*,,,,,,,,,,,,
value,subspace,*,measure,what is <measure> in <subspace>,*,,,,,,,,,,,,
association,*,breakdown,measure1,"For every <breakdown>, which relates to <measure_1>.",*,,,,,,,,,,,,
association,*,breakdown,measure,what is <breakdown>'s correlation between <measure_1> and <measure_2> ,*,,,,,,,,,,,,
distribution,*,breakdown,measure,what is the distributions of <measure> over <breakdown>,*,,,,,,,,,,,,
difference,*,breakdown,measure,what are the differences between <breakdown> regarding to their <measure>,*,,,,,,,,,,,,
extreme,*,breakdown,measure,which <breakdown> has the extreme value of <measure>,*,,,,,,,,,,,,
outlier,*,breakdown,measure,which <breakdown> have an anomaly value of <measure>,*,,,,,,,,,,,,
proportion,*,breakdown,measure,What is the proportion of each <breakdown> in <measure>,*,,,,,,,,,,,,
rank,*,breakdown,measure,What is the top ranked <breakdown> based on the number of <measure>,*,,,,,,,,,,,,
trend,*,breakdown,measure,what is the trend of <measure> over <breakdown>,*,,,,,,,,,,,,
*,subspace,breakdown,measure,Show me some information about <measure> of <breakdown> in <subspace>,*,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
